id,name,current_price,old_price,discount,ratings,timestamp
1,Seagrams Seagrams Imperial Blue Whiskey - 750ml,849,1143,26,4.3,2024-10-31 23:31:18
2,Jameson Jameson Irish Whiskey - 750 Ml,2199,2930,25,4.7,2024-10-31 23:31:18
3,William Lawson's William Lawson's Scotch Whisky – 750ml,1199,1990,40,4.5,2024-10-31 23:31:18
4,Chrome Chrome Gin - 750ml,669,760,12,4.4,2024-10-31 23:31:18
5,Jameson Jameson Irish Whiskey - 1 Litre,2999,3736,20,4.6,2024-10-31 23:31:18
6,Hampton American Malt Blended Whiskey - 750ml,1450,1700,15,4.4,2024-10-31 23:31:18
7,William Lawson's William Lawsons Scotch Whisky - 1 Litre,1799,2650,32,4.8,2024-10-31 23:31:18
8,Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,1999,2482,19,4.7,2024-10-31 23:31:18
9,Ballantine Ballantine Blended Scotch Whiskey - 1L,2599,3309,21,4.5,2024-10-31 23:31:18
10,Johnnie Walker Johnnie Walker Black 12Y - 750ml,2999,4200,29,4.4,2024-10-31 23:31:18
11,Gilbey's Gilbey's Gilbeys Gin - 750 ML,999,1550,36,4.3,2024-10-31 23:31:18
12,Johnnie Walker Johnnie Walker Red Label - 750 ML,1599,2300,30,4.5,2024-10-31 23:31:18
13,Black Bird Natural Sweet Red Wine - 750ml,1090,1350,19,4.3,2024-10-31 23:31:18
14,Black & White Black & White Whisky - 750ml,1249,1400,11,4.5,2024-10-31 23:31:18
15,Tusker Tusker Lager Can - 500ml - Pack of 6,1099,1380,20,4.7,2024-10-31 23:31:18
16,Jacob's Creek Jacob's Creek Classic Merlot 750Ml,1299,1439,10,4.5,2024-10-31 23:31:18
17,Captain Morgan Captain Morgan Gold Rum - 750ml,999,1150,13,4.8,2024-10-31 23:31:18
18,Johnnie Walker Johnnie Walker Red Label - 1 Litre,2199,2800,21,4.6,2024-10-31 23:31:18
19,Malibu Malibu Carribean Rum With Coconut Liqueur - 700ml,1799,2060,13,4.7,2024-10-31 23:31:18
20,Bacardi Bacardi Carta De Oro 750ml,1699,2425,30,4.6,2024-10-31 23:31:18
21,Martini Martini Bianco 750ml,2199,2645,17,4.7,2024-10-31 23:31:18
22,Bombay Bombay Sapphire Gin 750ml,2799,3640,23,5.0,2024-10-31 23:31:18
23,Johnnie Walker Johnnie Walker Black Label - 1litre,3899,5200,25,4.5,2024-10-31 23:31:18
24,Absolut Absolut Vodka Blue - 750ml,2199,2457,11,4.5,2024-10-31 23:31:18
25,Balozi Lager Cans 500ml - Pack of 6,1099,1380,20,4.8,2024-10-31 23:31:18
26,William Lawson's WillIam Lawsons Spiced Whisky 700ml,1699,2020,16,4.4,2024-10-31 23:31:18
